Name,Beauhurst URL,Accelerator manager,Sponsor(s),Fund,Next application deadline,Duration,Perks provided,Status,Summary,Eligibility,Phone number,Website,LinkedIn page,Country,Local authority (if UK),Region (if UK),Street address,Postcode (if UK),Number of attendances in this accelerator,Number of fundraisings associated with this accelerator,Date of the latest attendance 
University of Edinburgh AI Accelerator,https://platform.beauhurst.com/acceleratormanager/ghci8h/accelerator/t33rgf/,Bayes Centre DDE Innovation,,Edinburgh Innovations,,6 months.,"Access to Business Network, Access to Customer Network, Access to Finance, Access to Investor Network, Access to Network of Experts, Co-working Space, Mentoring, Stipend, Workshops",Green,"The programme aims to support scaleup companies using AI to bring about transformative change, with a focus on the climate, health & social benefit. This programme was previously sponsored by Huawei and Scale Space.","Applicants must be: An incorporated company with dedicated founders Able to attend sessions in person Fit into one of the three key areas; climate, health and social benefit Additionally applicants would ideally be: Post-revenue, however pre-revenue companies may be selected if they demonstrate growth potential",,https://edinburghdde.com/dde-programmes/ai-accelerator-2,,United Kingdom,City of Edinburgh,East of Scotland,"47 Potterrow
Edinburgh
EH8 9BT",EH8 9BT,70,,2025-09-18
Propel@YH,https://platform.beauhurst.com/acceleratormanager/abgr8k/accelerator/3rrcqg/,Yorkshire & Humber Academic Health Science Network,"Leeds City Council, Nexus Leeds, West Yorkshire and Harrogate Health & Care Partnership, Hill Dickinson, Barclays Eagle Labs",,,6 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Advice, Co-working Space, Educational Support, Invitation to Exclusive Events, Legal Services, Marketing support, Workshops",Green,The programme aims to accelerate the growth of SMEs developing digital health innovations and technology.,"Applicants must: Be an SME with less than 250 employees and turnover not exceeding €50m turnover. Balance sheet not exceeding €43m. Suitability for use worldwide. Have a presence, or a strong commitment to do so, within the Yorkshire & Humber region, through location or at least one full-time employee. Available for key dates during accelerator.",,https://www.propel-yh.com/,https://www.linkedin.com/company/18964409,United Kingdom,Leeds,Yorkshire and The Humber,"Nexus
Discovery Way
University of Leeds
Leeds
LS2 3AA",LS2 3AA,44,,2024-09-26
The Northern Max Accelerator,https://platform.beauhurst.com/acceleratormanager/bnd8gw/accelerator/jnvdas/,10x10,"City of Bradford Metropolitan District Council, Ad:Venture",European Regional Development Fund,,10 weeks.,"Access to Investor Network, Business Advice, Business Education, Mentoring, Workshops",Green,"The programme aims to develop digital & technology businesses, & the wider technology sector, within Bradford & Leeds.",Applicants must: Be based in the Leeds City Region. Been trading for less than 3 years. Match the ERDF Eligibility criteria for being a digital & technology businesses.,01522 837269,https://10by10.co.uk/northern-max-business-accelerator/,,United Kingdom,Lincoln,East Midlands,"Ropewalk
Lincoln
LN6 7DQ",LN6 7DQ,,,
Sunderland Our Smart City IoT and 5G,https://platform.beauhurst.com/acceleratormanager/pcthgz/accelerator/7z49u3/,Sunderland Software City,"bai communications, The City of Sunderland Council",,2022-08-15,6 weeks.,"Access to Business Network, Access to Finance, Access to Network of Experts, Mentoring, Product Development, Workshops",Green,The programme is for startups operating in the 5G and Internet of Things space.,,,https://www.sunderlandiotaccelerator.com/,,United Kingdom,Sunderland,North East,"Sunderland Software Centre
Tavistock Place 
Sunderland",SR1 1PB,9,,2022-10-03
Creative Futures Incubator,https://platform.beauhurst.com/acceleratormanager/6xwhup/accelerator/4xiixh/,University of Warwick,"1 Mill Street, Warwickshire County Council, BT",,2022-09-05,6 months.,"Access to Alumni Network, Access to Business Network, Access to Network of Experts, Business Advice, Co-working Space, Invitation to Exclusive Events, Mentoring",Green,The programme is for founders and SMEs who want to start or build a creative business in the West Midlands and who think they would benefit from being part of the Leamington Spa creative cluster.,Applicants must meet the following criteria: Graduates or founders of an early stage company or an SME - not current students An individual or a team of five or fewer co-founders Primarily based in the West Midlands while on the programme A business that is both creative and digital,,https://warwickinnovationdistrict.com/creative-futures-incubator-application/,,United Kingdom,Coventry,West Midlands,"Warwick Innovation District
University of Warwick
Junction Building
6 University Rd
Coventry
CV4 7EQ",CV4 7EQ,6,,2023-10-05
Venture Builder Incubator,https://platform.beauhurst.com/acceleratormanager/y6a64b/accelerator/pwq59b/,Bayes Centre,"Cancer Research Horizons, University of Edinburgh, Techscaler",Venture Builder Incubator,2026-07-20,5 months.,"Access to Alumni Network, Access to Business Network, Access to Finance, Access to Investor Network, Access to Network of Experts, Business Education, Financial Investment, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme is for founders and startup companies who aim to commercialise their data-driven idea or deep-tech research to start and grow their business. This programme rebranded from Data-Driven Entrepreneurship Venture Builder Incubator (DDE) to Venture Builder Incubator in 2025.,Applicants must meet the following criteria: Be a postgraduate student or academic staff member from a Scottish University.  Be developing  deep tech or data-driven solutions to address real-world challenges.,,https://www.hub.bayes.ed.ac.uk/programmes/vbi,,United Kingdom,City of Edinburgh,East of Scotland,"47 Potterrow
Edinburgh
EH8 9BT",EH8 9BT,28,,2024-11-07
Converge,https://platform.beauhurst.com/acceleratormanager/zvsr6f/accelerator/2bb8zk/,Converge,SSE PLC,,,1-6 months.,"Access to Alumni Network, Access to Business Network, Access to Finance, Access to Investor Network, Access to Network of Experts, Business Education, Invitation to Exclusive Events, Mentoring, Workshops",Green,"The programme is for early-stage companies who want to commercialise their product, and operates a number of challenges for companies within different sectors: Converge Challenge, for companies developing innovative IP Net Zero Challenge, for companies developing sustainable technologies Create Change Challenge, for sustainable businesses in creative and cultural sectors KickStart Challenge, for early-stage businesses that are beginning commercialisation Performing Arts & Production Challenge, for companies in the performing arts sectors","Applicants must: Have a clear business plan and demonstrate market demand Have at least one member must be a recent graduate or staff member from a Scottish University Plan to have their headquarters in Scotland If a pre-existing company, have been trading for less than 24 months and have a secured income below £200,000",,https://www.convergechallenge.com/our-challenges/test-and-validate-your-early-stage-business-idea-with-the-converge-kickstart-challenge/,,United Kingdom,City of Edinburgh,East of Scotland,"The GRID at Heriot-Watt University
Boundary Road
Gait 1
Riccarton
Edinburgh
EH14 4AS",EH14 4AS,12,,2025-05-13
Ignite North East Accelerator,https://platform.beauhurst.com/acceleratormanager/5i7ng4/accelerator/x8suip/,Ignite Accelerator,"Innovation SuperNetwork, Digital Catapult, North of Tyne Combined Authority, Tedco Business Support, Northumbria University, The AHSN Network",North of Tyne Combined Authority,,8 weeks.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Corporate Resources, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme is designed for technology companies in the North East that are searching for future investment to be able to scale. This programme is not a direct continuation of Ignite's previous accelerator based in the North East.,"Applicant companies must: Have evidence of traction, either being post-revenue or having proven demand for its product Be registered in the North East of England",,https://ignite.io/,,United Kingdom,Newcastle upon Tyne,North East,"5 Carliol Square
Newcastle upon Tyne
NE1 6UF",NE1 6UF,7,,2022-09-06
Ignite North East Pre-Accelerator,https://platform.beauhurst.com/acceleratormanager/5i7ng4/accelerator/svaz4t/,Ignite Accelerator,"Digital Catapult, North of Tyne Combined Authority, The AHSN Network, Innovation SuperNetwork, Northumbria University, Tedco Business Support",North of Tyne Combined Authority,,5 months.,"Access to Business Network, Access to Investor Network, Financial Investment, Mentoring, Office Space, Product Development, Workshops",Green,The programme aims to support the development of early-stage technology companies. This programme is not a direct continuation of Ignite's previous pre-accelerator based in the North East.,Applicants must  be based in the North East of England.,,https://ignite.io/,https://www.linkedin.com/company/2864901,United Kingdom,Newcastle upon Tyne,North East,"5 Carliol Square
Newcastle upon Tyne
NE1 6UF",NE1 6UF,49,16,2024-01-31
NHS Market Access,https://platform.beauhurst.com/acceleratormanager/h73i6b/accelerator/dyuk5a/,TheHill,"Oxford Trust, Oxford Innovation Finance, Barclays Eagle Labs",,,6 months.,"Access to Finance, Access to Investor Network, Access to Network of Experts, Business Advice, Co-working Space, Invitation to Exclusive Events, Marketing support, Mentoring, Office Space, Product Development, Workshops",Green,"The programme aims to develop companies looking to improve the efficiency of services within the NHS, with a focus on benefitting patients.",Applicants must be developing a product or providing a service for the healthcare sector.,,https://www.thehilloxford.org/programmes/nhs-market-access-accelerator/,,United Kingdom,Oxford,South East,"Oxford
Oxfordshire
OX3 9DU",OX3 9DU,2,,2024-06-05
BioAccelerate,https://platform.beauhurst.com/acceleratormanager/mghibm/accelerator/uetzm5/,Nurture Ventures,"Ceredigion County Council, Aberystwyth Innovation and Enterprise Campus",Community Renewal Fund,,12 weeks.,"Access to Finance, Access to Investor Network, Access to Network of Experts, Business Education, Financial Investment, Marketing support, Mentoring",Green,"The programme aims to provide early stage companies in the bioscience, life science, foodtech and healthcare sectors with investor readiness and development of business plans.","Applicants must: Be operating in the bioscience, life science, foodtech and healthcare sectors Be operating in Ceredigion or can provide evidence that they will be operating in Ceredigion by the end of the programme",,https://aberinnovation.com/en/development-hub/bioaccelerate/,,United Kingdom,Ceredigion,Wales,"Aberystwyth Innovation and Enterprise Campus
Gogerddan Campus
Aberystwyth University
Ceredigion
SY23 3EE",SY23 3EE,15,,2022-03-30
